codigo_antiguo,codigo_nuevo,distrito_origen,distrito_destino,empresa_operadora,empresa_abrev,alias,color_hex,fuente
3204,1040,San Juan de Lurigancho,Rímac,San Ignacio,ETSISA,La SC - La San Ignacio,#0044FF,wikipedia
3403/TVE27,1041,San Juan de Lurigancho,Chaclacayo,Santa Rosa de Jicamarca,ETSRJSA,Ninguno,#E81D1D,wikipedia
3405,1042,San Juan de Lurigancho,Ate,Las Águilas 75,ETLA75SA,La 75A,#FF0F0F,wikipedia
3408,1043,San Juan de Lurigancho,La Molina,Cuarenta Integrada,ETRANCISA,La 40,#4F200C,wikipedia
3509,1044,San Juan de Lurigancho,Jesús María,104,,La 104,#FF3F0F,wikipedia
3511,1045,San Juan de Lurigancho,Magdalena del Mar,Unidos,ETUSA,La 52C,#90333B,wikipedia
3603,1046,San Juan de Lurigancho,Lince,Transport Sabino,TRANSSABISAC,Ninguno,#17A108,wikipedia
3604,1047,San Juan de Lurigancho,Miraflores,Santo Cristo de Pachacamilla,ETRASCPSA,La 10A,#7C47A1,wikipedia
3607,1048,San Juan de Lurigancho,Lince,12 de Enero,ETDESA,Ninguno,#DB1212,wikipedia
3611/TVE60,1049,San Juan de Lurigancho,La Victoria,Caminos del Inca,ETCISA,Ninguno,#258009,wikipedia
3613,1050,San Juan de Lurigancho,Lince,El Lobito,,La R-I,#FFCC00,wikipedia
3614/TVE68,1051,San Juan de Lurigancho,San Isidro,Unidos,ETUSA,La 52J,#90333B,wikipedia
3701,1052,San Juan de Lurigancho,San Juan de Miraflores,HA de Servicios Múltiples de Propietarios Unidos Huáscar,ETHASEMPUHUASA,La HA,#1510B0,wikipedia
3702,1053,San Juan de Lurigancho,Chorrillos,Sur Lima,,La H,#003CE0,wikipedia
3705,1054,San Juan de Lurigancho,Chorrillos,Urbano Línea 4,ETUL4SA,La E,#E3B03F,wikipedia
3707,1055,San Juan de Lurigancho,Chorrillos,Lima Urban Company,,La 31,#FF0303,wikipedia
3805,1056,San Juan de Lurigancho,Villa El Salvador,Arco Iris,ETSAISA,La P,#B80000,wikipedia
3806,1057,San Juan de Lurigancho,Villa María del Triunfo,Santa Catalina,ESTSACASA,La 23C,#0C5700,wikipedia
3807/TVE21,1058,San Juan de Lurigancho,Lurín,Huáscar,,La R28,#D8D821,wikipedia
3809,1059,San Juan de Lurigancho,Villa María del Triunfo,Santa Catalina,ESTSACASA,La 23B,#0C5700,wikipedia
3810,1060,San Juan de Lurigancho,Villa María del Triunfo,Ocho,ETSOSA,La 8,#DE1212,wikipedia
3813,1061,San Juan de Lurigancho,Villa El Salvador,Preferencial M1,ETSPM1SA,La M1,#C5FF22,wikipedia
3814,1062,San Juan de Lurigancho,Villa El Salvador,Los Cuatro Suyos,ETCSSA,La M1,#FFF70A,wikipedia
3815,1063,San Juan de Lurigancho,Pachacámac,Los Magníficos,ETYSERMULMASA,La M,#FFB60A,wikipedia
4304,1064,Lurigancho/Chosica,San Juan de Lurigancho,Santa Rosa de Jicamarca,ETSRJSA,La 49,#DB0000,wikipedia
4405,1065,Ate,Ate,Nuevo Horizonte,ETNHOSA,La 91,#00126E,wikipedia
4502,1066,Huaycán,Lima,Huaycán,ETRANTURHSA,La HCT - El Huaycanero,#D5BC8B,wikipedia
4503,1067,Santa Anita,Lima,Peralitos,,Ninguno,#FF0F0F,wikipedia
4504,1068,Huaycán,Lima,Nuevo Perú,,La HGK - El Huaycanero,#05016B,wikipedia
4507,1069,Ricardo Palma,Lima,Nueva Era Señor de Muruhuay,ETSNESMSA,El Chosicano,#1F26FF,wikipedia
4510,1070,Ate,Jesús María,Bronco,ETBRONSA,Ninguno,#9C1414,wikipedia
4511,1071,Ate,Lima,Virgen de Copacabana,MIVICOSAC,La IC,#0758B5,wikipedia
4607,1072,Ate,La Victoria,Unidos San Martín de Porres,ETUSMPSA,Ninguno,#0013BA,wikipedia
4609,1073,Ate,San Isidro,Nuestra Señora del Sagrado Corazón,ETNUSSACSA,La B,#151F5C,wikipedia
