seccion,grupo,ruta,ruta_color,codigo_anterior,codigo_anterior_color,alias,origen,destino,empresa,abreviacion
actual,Rutas 1100,1159,#0099FF,IM21,#0099FF,La 21,Callao,Jesús María,Translima S.A.,
actual,Rutas 1100,1160,#FF872B,IM34B,#FF872B,La OP,Ventanilla,Ate,Multiservicios e Inversiones Chimpum Callao S.A.,
actual,Rutas 1100,1161,#37880B,IM40,#37880B,La 89,Callao,Ate,Empresa de Transportes Víctor Raúl Haya de La Torre S.A. (ETVRHTSA),ETVRHTSA
actual,Rutas 1100,1162,#8C0B01,IM47,#8C0B01,,Callao,San Miguel,Consorcio Briza,
actual,Rutas 1100,1163,#37FFD7,IO14,#37FFD7,La SV,Mi Perú,Santiago de Surco,Corporación Avagon S.A.C.,
actual,Rutas 1100,1164,#000880,IO19,#000880,,Callao,Independencia,Cooperativa de Transportes Corazón de Jesús Ltda. (CTCJ),CTCJ
actual,Rutas 1100,1165,#0011FF,IO38B,#0011FF,,Los Olivos,Callao,Consorcio Briza,
actual,Rutas 1100,1166,#032DFF,IO44B,#032DFF,,Carabayllo,San Miguel,Empresa de Transportes Vía Bus S.A.C. (ETVIBUSAC),ETVIBUSAC
actual,Rutas 1100,1167,#634941,IO45,#634941,,Carabayllo,Callao,Consorcio Briza,
actual,Rutas 1100,1168,#FFA305,IO47,#FFA305,,Ventanilla,Lince,Inversiones y Servicios Múltiples La Nueva Estrella S.A.C. / Corporación Las Estrellas S.A.C.,
actual,Rutas 1100,1169,#808080,IO75B,#808080,,Mi Perú,Lima,Transportes y Servicios Cielo Mar y Tierra S.A. (ETCIMATISA),ETCIMATISA
actual,Rutas 1100,1170,#18D6C9,OM09,#18D6C9,La 93,Callao,Lima,Perla Argentina S.A. (PASA),PASA
actual,Rutas 1100,1171,#00B8FF,OM16,#00B8FF,La DC - La SB,Santa Rosa,La Victoria,Empresa de Transportes Álamo Express S.A. (ETALEXSA) / Consorcio Santa Bárbara S.A. (COSBASA),COSBASA
actual,Rutas 1100,1172,#078ED1,OM23,#078ED1,,San Martín de Porres,Rímac,Corporación Empresa de Transportes Urbano Niño Jesús S.A. (ETUNIJESA),ETUNIJESA
actual,Rutas 1100,1173,#0CBE00,OM32,#0CBE00,La 9V,San Martín de Porres,Santiago de Surco,Consorcio Movil Express S.A / Empresa de Transportes Santa Rosa de Lima S.A. (ETRASLISA),ETRASLISA
